id,color,category,price,rating,base_discount,net_price
P0181,4,1,699,6.7,0.8,559.2
P0182,1,3,2399,10.4,0.7,1679.3
P0183,4,4,2299,9.2,0.6,1379.3999999999999
P0184,5,1,2599,7.6,0.8,2079.2000000000003
P0185,2,4,1899,10.1,0.6,1139.3999999999999
P0186,4,4,1899,9.2,0.6,1139.3999999999999
P0187,5,4,1299,3.7,0.6,779.4
P0188,4,1,2899,2.0,0.8,2319.2000000000003
P0189,4,1,899,11.0,0.8,719.2
P0190,4,4,2399,7.1,0.6,1439.3999999999999
P0191,1,2,999,8.9,0.75,749.25
P0192,5,5,599,6.0,0.5,299.5
P0193,4,4,1699,8.2,0.6,1019.4
P0194,3,3,1899,5.4,0.7,1329.3
P0195,3,1,2199,6.0,0.8,1759.2
P0196,3,5,2899,4.4,0.5,1449.5
P0197,1,4,899,4.2,0.6,539.4
P0198,5,5,399,4.5,0.5,199.5
P0199,5,5,999,1.9,0.5,499.5
P0200,4,1,999,8.9,0.8,799.2
P0201,5,5,2699,2.2,0.5,1349.5
P0202,2,2,2299,6.1,0.75,1724.25
P0203,3,1,2199,2.6,0.8,1759.2
P0204,3,1,1899,10.7,0.8,1519.2
P0205,2,1,2999,4.0,0.8,2399.2000000000003
P0206,3,1,2599,8.2,0.8,2079.2000000000003
P0207,2,2,999,4.1,0.75,749.25
P0208,2,3,1099,1.5,0.7,769.3
P0209,2,3,199,9.9,0.7,139.29999999999998
P0210,4,2,399,3.5,0.75,299.25
P0211,1,4,2499,3.3,0.6,1499.3999999999999
P0212,5,5,1099,6.0,0.5,549.5
P0213,1,4,2799,10.2,0.6,1679.3999999999999
P0214,1,1,499,4.3,0.8,399.20000000000005
P0215,3,5,199,3.8,0.5,99.5
P0216,4,4,1299,4.9,0.6,779.4
P0217,5,4,999,7.6,0.6,599.4
P0218,1,4,1999,10.2,0.6,1199.3999999999999
P0219,1,2,99,8.0,0.75,74.25
P0220,4,2,1199,1.0,0.75,899.25
P0221,2,3,699,2.8,0.7,489.29999999999995
P0222,1,3,2799,9.2,0.7,1959.3
P0223,1,2,1399,8.7,0.75,1049.25
P0224,4,5,499,7.1,0.5,249.5
P0225,4,4,799,6.5,0.6,479.4
P0226,4,1,1299,3.1,0.8,1039.2
P0227,1,5,2699,8.8,0.5,1349.5
P0228,2,4,99,5.4,0.6,59.4
P0229,5,3,1899,11.0,0.7,1329.3
P0230,5,2,499,10.4,0.75,374.25
P0231,1,2,1199,5.1,0.75,899.25
P0232,1,4,2299,11.0,0.6,1379.3999999999999
P0233,1,1,2399,5.7,0.8,1919.2
P0234,1,1,1699,10.0,0.8,1359.2
P0235,3,5,1599,2.7,0.5,799.5
P0236,4,1,899,2.5,0.8,719.2
P0237,4,2,899,8.3,0.75,674.25
P0238,4,5,1399,3.4,0.5,699.5
P0239,4,4,899,3.7,0.6,539.4
P0240,4,1,1399,7.0,0.8,1119.2
P0241,4,2,999,9.4,0.75,749.25
P0242,2,5,2099,1.4,0.5,1049.5
P0243,1,2,2199,6.1,0.75,1649.25
P0244,2,2,799,1.3,0.75,599.25
P0245,1,5,2199,5.2,0.5,1099.5
P0246,5,1,2499,6.0,0.8,1999.2
P0247,1,5,2099,7.2,0.5,1049.5
P0248,1,3,2499,5.4,0.7,1749.3
P0249,4,4,1299,2.3,0.6,779.4
P0250,1,4,1399,1.8,0.6,839.4
P0251,2,5,2899,5.9,0.5,1449.5
P0252,2,5,899,1.6,0.5,449.5
P0253,2,5,2799,3.0,0.5,1399.5
P0254,2,1,499,10.0,0.8,399.20000000000005
P0255,3,3,599,9.0,0.7,419.29999999999995
P0256,2,1,1899,9.3,0.8,1519.2
P0257,2,2,399,2.6,0.75,299.25
P0258,4,1,1099,1.7000000000000002,0.8,879.2
P0259,1,2,1999,5.9,0.75,1499.25
P0260,4,3,299,10.0,0.7,209.29999999999998
P0261,3,2,1299,2.9,0.75,974.25
P0262,2,3,799,3.6,0.7,559.3
P0263,5,4,1099,4.0,0.6,659.4
P0264,4,3,2099,7.3,0.7,1469.3
P0265,2,1,1599,1.2,0.8,1279.2
P0266,5,2,899,8.8,0.75,674.25
P0267,5,2,1199,8.5,0.75,899.25
P0268,5,4,1899,4.0,0.6,1139.3999999999999
P0269,4,5,99,1.3,0.5,49.5
P0270,3,5,1899,4.7,0.5,949.5
P0271,1,3,2099,4.0,0.7,1469.3
P0272,1,4,99,4.0,0.6,59.4
P0273,2,5,1499,10.5,0.5,749.5
P0274,4,5,2499,2.3,0.5,1249.5
P0275,1,2,899,7.7,0.75,674.25
P0276,2,4,2499,5.9,0.6,1499.3999999999999
P0277,5,1,999,10.3,0.8,799.2
P0278,5,2,499,5.7,0.75,374.25
P0279,1,1,999,6.9,0.8,799.2
P0280,3,4,1999,4.2,0.6,1199.3999999999999
P0281,2,3,299,3.4,0.7,209.29999999999998
P0282,2,4,2099,9.2,0.6,1259.3999999999999
P0283,1,1,599,3.2,0.8,479.20000000000005
P0284,3,1,1599,2.1,0.8,1279.2
P0285,2,5,799,4.2,0.5,399.5
P0286,5,5,1199,7.5,0.5,599.5
P0287,5,1,1299,8.9,0.8,1039.2
P0288,2,5,99,4.1,0.5,49.5
P0289,5,2,2199,4.7,0.75,1649.25
P0290,3,3,2799,3.4,0.7,1959.3
P0291,2,2,2099,9.6,0.75,1574.25
P0292,5,5,1099,2.3,0.5,549.5
P0293,1,1,2499,5.3,0.8,1999.2
P0294,4,4,1399,4.1,0.6,839.4
P0295,5,3,1699,10.4,0.7,1189.3
P0296,1,2,399,7.5,0.75,299.25
P0297,3,1,799,4.8,0.8,639.2
P0298,1,4,799,4.2,0.6,479.4
P0299,2,4,2399,7.8,0.6,1439.3999999999999
P0300,2,1,1399,2.9,0.8,1119.2
P0301,3,5,99,8.4,0.5,49.5
P0302,5,5,2299,7.0,0.5,1149.5
P0303,4,3,2699,4.0,0.7,1889.3
P0304,1,3,2699,6.1,0.7,1889.3
P0305,5,3,1399,2.6,0.7,979.3
P0306,2,3,2599,4.5,0.7,1819.3
P0307,3,2,199,10.4,0.75,149.25
P0308,4,4,2199,2.8,0.6,1319.3999999999999
P0309,1,5,399,8.5,0.5,199.5
P0310,2,2,1299,8.3,0.75,974.25
P0311,4,1,2699,7.2,0.8,2159.2000000000003
P0312,1,1,1699,2.6,0.8,1359.2
P0313,3,4,2199,9.7,0.6,1319.3999999999999
P0314,2,3,299,2.3,0.7,209.29999999999998
P0315,2,5,2299,2.6,0.5,1149.5
P0316,2,3,2699,9.0,0.7,1889.3
P0317,3,1,999,6.0,0.8,799.2
P0318,3,3,2599,7.6,0.7,1819.3
P0319,3,4,2799,9.9,0.6,1679.3999999999999
P0320,1,3,2099,7.9,0.7,1469.3
P0321,3,3,2099,6.8,0.7,1469.3
P0322,1,3,399,7.0,0.7,279.29999999999995
P0323,3,1,1799,7.1,0.8,1439.2
P0324,3,2,2899,6.8,0.75,2174.25
P0325,4,5,2399,2.0,0.5,1199.5
P0326,5,1,1099,3.0,0.8,879.2
P0327,3,4,2599,5.9,0.6,1559.3999999999999
P0328,4,1,1399,3.2,0.8,1119.2
P0329,1,5,1599,3.1,0.5,799.5
P0330,1,3,599,9.2,0.7,419.29999999999995
P0331,1,1,1899,9.3,0.8,1519.2
P0332,1,5,1499,2.9,0.5,749.5
P0333,2,5,2399,5.1,0.5,1199.5
P0334,3,2,1899,9.1,0.75,1424.25
P0335,3,5,899,10.8,0.5,449.5
P0336,4,2,2499,6.2,0.75,1874.25
P0337,5,1,2699,10.6,0.8,2159.2000000000003
P0338,5,2,199,3.0,0.75,149.25
P0339,3,2,2799,2.5,0.75,2099.25
P0340,3,5,199,3.7,0.5,99.5
P0341,2,5,2299,1.2,0.5,1149.5
P0342,2,2,2199,7.6,0.75,1649.25
P0343,3,2,1899,3.2,0.75,1424.25
P0344,3,4,99,4.3,0.6,59.4
P0345,2,1,699,2.4,0.8,559.2
P0346,5,1,2299,9.0,0.8,1839.2
P0347,1,2,499,8.8,0.75,374.25
P0348,3,1,1699,10.1,0.8,1359.2
P0349,1,3,1499,6.9,0.7,1049.3
P0350,3,2,399,9.7,0.75,299.25
P0351,3,3,1799,2.7,0.7,1259.3
P0352,5,3,2299,7.2,0.7,1609.3
P0353,1,5,1699,1.9,0.5,849.5
P0354,3,1,1199,10.0,0.8,959.2
P0355,5,5,2999,3.6,0.5,1499.5
P0356,2,4,1599,10.0,0.6,959.4
P0357,3,4,2299,3.0,0.6,1379.3999999999999
P0358,5,3,2499,1.5,0.7,1749.3
P0359,5,3,699,8.0,0.7,489.29999999999995
P0360,4,1,799,4.6,0.8,639.2
P0361,3,5,1899,10.7,0.5,949.5
P0362,4,4,2799,10.4,0.6,1679.3999999999999
P0363,5,5,899,3.0,0.5,449.5
P0364,3,2,2999,10.2,0.75,2249.25
P0365,3,2,1199,2.0,0.75,899.25
P0366,1,2,2099,4.4,0.75,1574.25
P0367,1,1,1699,9.6,0.8,1359.2
P0368,2,1,1899,2.0,0.8,1519.2
P0369,4,4,1699,3.4,0.6,1019.4
P0370,5,3,1199,10.9,0.7,839.3
P0371,4,2,2699,9.6,0.75,2024.25
P0372,3,3,1799,7.1,0.7,1259.3
P0373,2,5,2099,10.8,0.5,1049.5
P0374,4,5,599,7.7,0.5,299.5
P0375,5,5,699,6.0,0.5,349.5
P0376,1,1,2099,10.0,0.8,1679.2
P0377,4,1,2599,6.0,0.8,2079.2000000000003
P0378,1,3,1999,8.2,0.7,1399.3
P0379,4,1,999,4.1,0.8,799.2
P0380,2,3,799,4.7,0.7,559.3
P0381,1,2,599,5.7,0.75,449.25
P0382,4,5,2199,3.2,0.5,1099.5
P0383,4,4,1499,3.6,0.6,899.4
P0384,3,1,1399,7.5,0.8,1119.2
P0385,2,2,1999,6.0,0.75,1499.25
P0386,3,3,2599,9.7,0.7,1819.3
P0387,5,2,1599,3.6,0.75,1199.25
P0388,2,1,2099,10.5,0.8,1679.2
P0389,5,4,1899,8.0,0.6,1139.3999999999999
P0390,2,3,1799,9.6,0.7,1259.3
P0391,3,5,2699,4.6,0.5,1349.5
P0392,5,1,2799,10.9,0.8,2239.2000000000003
P0393,3,4,1199,5.3,0.6,719.4
P0394,3,1,99,7.0,0.8,79.2
P0395,1,5,2799,6.5,0.5,1399.5
P0396,1,3,199,2.0,0.7,139.29999999999998
P0397,5,5,1599,9.6,0.5,799.5
P0398,5,2,2099,2.0,0.75,1574.25
P0399,5,2,499,9.4,0.75,374.25
P0400,3,3,2099,1.7000000000000002,0.7,1469.3
P0401,1,3,2399,10.1,0.7,1679.3
P0402,2,3,499,5.5,0.7,349.29999999999995
P0403,1,1,2999,10.4,0.8,2399.2000000000003
P0404,2,3,2699,4.3,0.7,1889.3
P0405,5,5,999,4.5,0.5,499.5
P0406,2,2,1699,4.6,0.75,1274.25
P0407,3,4,199,9.5,0.6,119.39999999999999
P0408,1,4,1599,8.2,0.6,959.4
P0409,2,5,399,5.8,0.5,199.5
P0410,5,5,1999,10.1,0.5,999.5
P0411,3,2,1799,10.8,0.75,1349.25
P0412,5,5,1699,8.0,0.5,849.5
P0413,2,3,1199,7.4,0.7,839.3
P0414,5,2,99,3.3,0.75,74.25
P0415,2,3,2699,2.3,0.7,1889.3
P0416,1,4,599,10.6,0.6,359.4
P0417,5,3,1599,4.0,0.7,1119.3
P0418,1,2,1999,7.4,0.75,1499.25
P0419,4,5,1499,9.2,0.5,749.5
P0420,4,1,2299,9.1,0.8,1839.2
P0421,5,3,2099,3.2,0.7,1469.3
P0422,5,1,1399,3.0,0.8,1119.2
P0423,2,1,2299,5.5,0.8,1839.2
P0424,5,4,1399,7.5,0.6,839.4
P0425,2,3,2399,8.4,0.7,1679.3
P0426,5,3,399,8.9,0.7,279.29999999999995
P0427,1,1,799,5.0,0.8,639.2
P0428,4,4,1999,1.8,0.6,1199.3999999999999
P0429,3,5,299,1.7000000000000002,0.5,149.5
P0430,5,2,2899,5.4,0.75,2174.25
P0431,3,2,1199,10.4,0.75,899.25
P0432,3,2,2199,2.9,0.75,1649.25
P0433,1,5,1399,1.3,0.5,699.5
P0434,3,3,2199,7.6,0.7,1539.3
P0435,1,1,799,2.0,0.8,639.2
P0436,3,1,1099,6.1,0.8,879.2
P0437,3,1,2399,2.0,0.8,1919.2
P0438,1,4,699,6.5,0.6,419.4
P0439,2,1,1599,7.9,0.8,1279.2
P0440,3,2,2899,9.8,0.75,2174.25
P0441,1,1,699,2.7,0.8,559.2
P0442,3,2,799,1.3,0.75,599.25
P0443,5,3,1799,8.0,0.7,1259.3
P0444,2,2,1399,10.2,0.75,1049.25
P0445,3,1,2099,9.9,0.8,1679.2
P0446,2,3,199,10.8,0.7,139.29999999999998
P0447,5,4,2599,4.9,0.6,1559.3999999999999
P0448,2,2,899,10.6,0.75,674.25
P0449,5,3,799,7.4,0.7,559.3
P0450,2,3,2699,5.7,0.7,1889.3
P0451,4,3,1699,5.8,0.7,1189.3
P0452,5,5,99,2.0,0.5,49.5
P0453,5,5,2499,7.8,0.5,1249.5
P0454,5,2,2199,7.9,0.75,1649.25
P0455,1,1,1699,6.6,0.8,1359.2
P0456,4,3,1999,2.0,0.7,1399.3
P0457,5,1,2099,10.0,0.8,1679.2
P0458,5,1,399,7.4,0.8,319.20000000000005
P0459,1,2,2799,3.3,0.75,2099.25
P0460,4,2,1999,7.0,0.75,1499.25
P0461,4,2,1899,9.5,0.75,1424.25
P0462,1,4,99,4.0,0.6,59.4
P0463,4,2,2099,4.6,0.75,1574.25
P0464,2,2,1199,10.0,0.75,899.25
P0465,2,1,1999,7.3,0.8,1599.2
P0466,3,1,2299,8.2,0.8,1839.2
P0467,3,2,1599,2.3,0.75,1199.25
P0468,5,4,299,3.3,0.6,179.4
P0469,2,3,2999,4.7,0.7,2099.2999999999997
P0470,2,1,2899,3.8,0.8,2319.2000000000003
P0471,2,3,899,10.9,0.7,629.3
P0472,4,2,2099,7.8,0.75,1574.25
P0473,1,4,599,9.0,0.6,359.4
P0474,5,1,2299,10.7,0.8,1839.2
P0475,2,3,2899,3.3,0.7,2029.3
P0476,2,2,499,4.3,0.75,374.25
P0477,1,5,1899,10.6,0.5,949.5
P0478,3,2,1599,9.3,0.75,1199.25
P0479,5,3,2699,3.2,0.7,1889.3
P0480,4,3,1099,6.7,0.7,769.3
P0481,4,3,2199,4.4,0.7,1539.3
P0482,2,4,2099,3.9,0.6,1259.3999999999999
P0483,4,4,2399,6.1,0.6,1439.3999999999999
P0484,5,4,99,4.3,0.6,59.4
P0485,3,4,2299,3.5,0.6,1379.3999999999999
P0486,3,3,1399,1.9,0.7,979.3
P0487,2,2,2699,1.9,0.75,2024.25
P0488,3,1,1499,7.9,0.8,1199.2
P0489,4,5,2499,5.5,0.5,1249.5
P0490,1,1,2399,3.4,0.8,1919.2
P0491,1,5,1699,6.9,0.5,849.5
P0492,4,5,1399,7.3,0.5,699.5
P0493,2,3,1799,7.1,0.7,1259.3
P0494,3,5,1099,9.8,0.5,549.5
P0495,1,2,2699,7.1,0.75,2024.25
P0496,4,3,299,5.5,0.7,209.29999999999998
P0497,2,2,2999,9.7,0.75,2249.25
P0498,1,5,1799,5.5,0.5,899.5
P0499,5,5,1299,2.0,0.5,649.5
P0500,1,2,99,7.5,0.75,74.25
P0501,1,5,2499,3.2,0.5,1249.5
P0502,2,4,2399,8.3,0.6,1439.3999999999999
P0503,3,5,1799,2.1,0.5,899.5
P0504,1,4,2999,10.6,0.6,1799.3999999999999
P0505,2,4,2399,10.9,0.6,1439.3999999999999
P0506,4,4,99,10.4,0.6,59.4
P0507,2,5,1299,6.3,0.5,649.5
P0508,1,3,599,7.6,0.7,419.29999999999995
P0509,5,3,1799,3.6,0.7,1259.3
P0510,2,4,1099,7.8,0.6,659.4
P0511,5,3,1199,8.2,0.7,839.3
P0512,5,3,799,8.4,0.7,559.3
P0513,1,2,2999,8.6,0.75,2249.25
P0514,2,5,2499,10.1,0.5,1249.5
P0515,2,1,1799,5.1,0.8,1439.2
P0516,1,3,2499,5.8,0.7,1749.3
P0517,3,4,1199,4.0,0.6,719.4
P0518,3,1,199,1.5,0.8,159.20000000000002
P0519,3,4,399,3.9,0.6,239.39999999999998
P0520,3,5,2699,6.3,0.5,1349.5
P0521,3,3,99,6.0,0.7,69.3
P0522,4,1,2399,8.2,0.8,1919.2
P0523,5,4,2199,8.2,0.6,1319.3999999999999
P0524,2,3,2899,4.0,0.7,2029.3
P0525,4,2,1299,7.3,0.75,974.25
P0526,2,4,399,9.2,0.6,239.39999999999998
P0527,1,5,1899,7.5,0.5,949.5
P0528,1,4,1099,1.6,0.6,659.4
P0529,2,4,1299,8.4,0.6,779.4
P0530,2,3,2599,1.8,0.7,1819.3
P0531,1,3,1599,4.4,0.7,1119.3
P0532,2,5,499,2.7,0.5,249.5
P0533,3,2,1599,10.6,0.75,1199.25
P0534,3,2,2099,1.2,0.75,1574.25
P0535,1,3,299,2.2,0.7,209.29999999999998
P0536,5,1,2999,4.7,0.8,2399.2000000000003
P0537,1,3,1599,10.0,0.7,1119.3
P0538,4,1,2799,7.9,0.8,2239.2000000000003
P0539,4,2,599,8.3,0.75,449.25
P0540,5,1,1899,4.3,0.8,1519.2
P0541,1,3,999,8.0,0.7,699.3
P0542,5,1,2399,5.3,0.8,1919.2
P0543,5,4,1999,4.6,0.6,1199.3999999999999
P0544,3,3,699,9.9,0.7,489.29999999999995
P0545,5,3,299,3.1,0.7,209.29999999999998
P0546,1,5,1299,10.8,0.5,649.5
P0547,2,1,1799,6.8,0.8,1439.2
P0548,5,1,2899,1.3,0.8,2319.2000000000003
P0549,5,2,1799,8.6,0.75,1349.25
P0550,3,3,499,9.6,0.7,349.29999999999995
P0551,2,3,1999,5.7,0.7,1399.3
P0552,3,2,1699,9.0,0.75,1274.25
P0553,5,5,2899,4.4,0.5,1449.5
P0554,2,5,1499,10.5,0.5,749.5
P0555,4,2,1499,2.7,0.75,1124.25
P0556,3,2,2899,9.3,0.75,2174.25
P0557,5,5,699,9.0,0.5,349.5
P0558,5,4,1999,9.5,0.6,1199.3999999999999
P0559,3,2,2299,1.0,0.75,1724.25
P0560,5,4,2599,1.7000000000000002,0.6,1559.3999999999999
P0561,4,4,999,5.3,0.6,599.4
P0562,5,5,1599,4.2,0.5,799.5
P0563,2,4,1099,2.4,0.6,659.4
P0564,5,4,799,3.9,0.6,479.4
P0565,2,4,699,4.8,0.6,419.4
P0566,5,3,1999,1.5,0.7,1399.3
P0567,4,4,1899,2.5,0.6,1139.3999999999999
P0568,2,5,2699,10.8,0.5,1349.5
P0569,5,5,899,1.3,0.5,449.5
P0570,3,3,2199,1.0,0.7,1539.3
P0571,3,4,2199,4.0,0.6,1319.3999999999999
P0572,5,5,1699,1.4,0.5,849.5
P0573,3,2,2599,9.5,0.75,1949.25
P0574,2,2,2599,3.8,0.75,1949.25
P0575,1,3,1199,5.0,0.7,839.3
P0576,2,5,2799,8.0,0.5,1399.5
P0577,1,5,299,2.6,0.5,149.5
P0578,5,5,1999,4.7,0.5,999.5
P0579,5,2,1799,6.3,0.75,1349.25
